NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 262 GTMIN    97.21  5 2027  5 2027  
 262 GTMIN   277.76  6 2027 12 2027  
 262 GTMIN    97.21  1 2028  2 2028  
 262 GTMIN    89.60  3 2028  3 2028  
 262 GTMIN    97.21  5 2028  5 2028  
 262 GTMIN   277.76  6 2028          
 263 POTEF   295.43  1 2027          AZULAO IV
 263 GTMIN    97.21  1 2027  2 2027  
 263 GTMIN    89.60  3 2027  3 2027  
 263 GTMIN    97.21  5 2027  5 2027  
 263 GTMIN   277.76  6 2027 12 2027  
 263 GTMIN    97.21  1 2028  2 2028  
 263 GTMIN    89.60  3 2028  3 2028  
 263 GTMIN    97.21  5 2028  5 2028  
 263 GTMIN   277.76  6 2028          
 322 POTEF    17.94  2 2026          BBF BALIZA
 322 FCMAX    95.12  2 2026          
 322 GTMIN    15.90  2 2026          
 323 POTEF    11.50  2 2026          BONFIM
 323 GTMIN    11.03  2 2026          
 203 POTEF    85.38 11 2024          C. ROCHA
 203 FCMAX    76.13 11 2024 11 2024  
 203 TEIFT     0.00 11 2024 11 2024  
 203 GTMIN    64.99 11 2024 11 2024  
 203 FCMAX   100.00 12 2024  5 2025  
 203 IPTER    20.72 12 2024  5 2025  
 203 GTMIN    67.00 12 2024  5 2025  
 203 FCMAX     0.00  6 2025          
 324 POTEF    11.50  2 2026          CANTA
 324 GTMIN    11.03  2 2026          
  73 POTEF   165.87 11 2024          GERAMAR I
  73 FCMAX    95.98 11 2024 11 2024  
  73 TEIFT     0.00 11 2024 11 2024  
  73 FCMAX    96.00 12 2024 12 2024  
  73 FCMAX     0.00  1 2025          
  70 POTEF   165.87 11 2024          GERAMAR II
  70 FCMAX    95.98 11 2024 11 2024  
  70 TEIFT     0.00 11 2024 11 2024  
  70 FCMAX    96.00 12 2024 12 2024  
  70 FCMAX     0.00  1 2025          
 325 POTEF    56.95  2 2026          HF S JOAQUIM
 325 GTMIN    53.06  2 2026  4 2026  
 325 GTMIN    40.92  5 2026  5 2026  
 325 GTMIN    25.71  6 2026  6 2026  
 325 GTMIN    53.06  7 2026  5 2027  
 325 GTMIN    49.32  6 2027  6 2027  
 325 GTMIN    53.06  7 2027  5 2028  
 325 GTMIN    42.97  6 2028  6 2028  
 325 GTMIN    53.06  7 2028          
 326 POTEF   140.83  2 2026          JAGUATIRI II
 326 FCMAX    89.67  2 2026          
 326 GTMIN   121.27  2 2026          
 204 POTEF    75.48 11 2024          JARAQUI
 204 FCMAX    83.47 11 2024 11 2024  
 204 TEIFT     0.00 11 2024 11 2024  
 204 GTMIN    62.99 11 2024  4 2025  
 204 FCMAX    86.95 12 2024  4 2025  
 204 FCMAX     0.00  5 2025          
 327 POTEF    42.25  2 2026          M.CRISTO SUC
 327 FCMAX    96.49  2 2026  5 2028  
 327 GTMIN    39.54  2 2026  4 2026  
 327 GTMIN    37.20  7 2026  7 2026  
 327 GTMIN    39.54  8 2026 11 2026  
 327 GTMIN    37.96 12 2026 12 2026  
 327 GTMIN    33.20  1 2027  1 2027  
 327 GTMIN    39.54  2 2027  4 2027  
 327 GTMIN     3.10  5 2027  5 2027  
